2012-2016 Statistics of U.S. Businesses comma-delimited files

MSA
CODE	MSA DESCRIPTION  (#917)
33580	Mitchell, SD Micropolitan Statistical Area
33620	Moberly, MO Micropolitan Statistical Area
33660	Mobile, AL Metropolitan Statistical Area
33700	Modesto, CA Metropolitan Statistical Area
33740	Monroe, LA Metropolitan Statistical Area
33780	Monroe, MI Metropolitan Statistical Area
33860	Montgomery, AL Metropolitan Statistical Area
33940	Montrose, CO Micropolitan Statistical Area
33980	Morehead City, NC Micropolitan Statistical Area
34020	Morgan City, LA Micropolitan Statistical Area
34060	Morgantown, WV Metropolitan Statistical Area
34100	Morristown, TN Metropolitan Statistical Area
34140	Moscow, ID Micropolitan Statistical Area
34180	Moses Lake, WA Micropolitan Statistical Area
34220	Moultrie, GA Micropolitan Statistical Area
34260	Mountain Home, AR Micropolitan Statistical Area
34300	Mountain Home, ID Micropolitan Statistical Area
34340	Mount Airy, NC Micropolitan Statistical Area
34380	Mount Pleasant, MI Micropolitan Statistical Area
34420	Mount Pleasant, TX Micropolitan Statistical Area
34460	Mount Sterling, KY Micropolitan Statistical Area
34500	Mount Vernon, IL Micropolitan Statistical Area
34540	Mount Vernon, OH Micropolitan Statistical Area
34580	Mount Vernon-Anacortes, WA Metropolitan Statistical Area
34620	Muncie, IN Metropolitan Statistical Area
34660	Murray, KY Micropolitan Statistical Area
34700	Muscatine, IA Micropolitan Statistical Area
34740	Muskegon, MI Metropolitan Statistical Area
34780	Muskogee, OK Micropolitan Statistical Area
34820	Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area
34860	Nacogdoches, TX Micropolitan Statistical Area
34900	Napa, CA Metropolitan Statistical Area
34940	Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area
34980	Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area
35020	Natchez, MS-LA Micropolitan Statistical Area
35060	Natchitoches, LA Micropolitan Statistical Area
35100	New Bern, NC Metropolitan Statistical Area
35140	Newberry, SC Micropolitan Statistical Area
35220	New Castle, IN Micropolitan Statistical Area
35260	New Castle, PA Micropolitan Statistical Area
35300	New Haven-Milford, CT Metropolitan Statistical Area
35380	New Orleans-Metairie, LA Metropolitan Statistical Area
35420	New Philadelphia-Dover, OH Micropolitan Statistical Area
35440	Newport, OR Micropolitan Statistical Area
35460	Newport, TN Micropolitan Statistical Area
35500	Newton, IA Micropolitan Statistical Area
35580	New Ulm, MN Micropolitan Statistical Area
35620	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
35660	Niles-Benton Harbor, MI Metropolitan Statistical Area
35700	Nogales, AZ Micropolitan Statistical Area
35740	Norfolk, NE Micropolitan Statistical Area
35820	North Platte, NE Micropolitan Statistical Area
35840	North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area
35860	North Vernon, IN Micropolitan Statistical Area
35900	North Wilkesboro, NC Micropolitan Statistical Area
35940	Norwalk, OH Micropolitan Statistical Area
35980	Norwich-New London, CT Metropolitan Statistical Area
36020	Oak Harbor, WA Micropolitan Statistical Area
36100	Ocala, FL Metropolitan Statistical Area
36140	Ocean City, NJ Metropolitan Statistical Area
36220	Odessa, TX Metropolitan Statistical Area
36260	Ogden-Clearfield, UT Metropolitan Statistical Area
36300	Ogdensburg-Massena, NY Micropolitan Statistical Area
36340	Oil City, PA Micropolitan Statistical Area
36380	Okeechobee, FL Micropolitan Statistical Area
36420	Oklahoma City, OK Metropolitan Statistical Area
36460	Olean, NY Micropolitan Statistical Area
36500	Olympia-Tumwater, WA Metropolitan Statistical Area
36540	Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area
36580	Oneonta, NY Micropolitan Statistical Area
36620	Ontario, OR-ID Micropolitan Statistical Area
36660	Opelousas, LA Micropolitan Statistical Area
36700	Orangeburg, SC Micropolitan Statistical Area
36740	Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area
36780	Oshkosh-Neenah, WI Metropolitan Statistical Area
36820	Oskaloosa, IA Micropolitan Statistical Area
36830	Othello, WA Micropolitan Statistical Area
36840	Ottawa, KS Micropolitan Statistical Area
36860	Ottawa-Peru, IL Micropolitan Statistical Area
36900	Ottumwa, IA Micropolitan Statistical Area
36940	Owatonna, MN Micropolitan Statistical Area
36980	Owensboro, KY Metropolitan Statistical Area
37020	Owosso, MI Micropolitan Statistical Area
37060	Oxford, MS Micropolitan Statistical Area
37080	Oxford, NC Micropolitan Statistical Area
37100	Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area
37120	Ozark, AL Micropolitan Statistical Area
37140	Paducah, KY-IL Micropolitan Statistical Area
37220	Pahrump, NV Micropolitan Statistical Area
37260	Palatka, FL Micropolitan Statistical Area
37300	Palestine, TX Micropolitan Statistical Area
37340	Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area
37420	Pampa, TX Micropolitan Statistical Area
37460	Panama City, FL Metropolitan Statistical Area
37500	Paragould, AR Micropolitan Statistical Area
37540	Paris, TN Micropolitan Statistical Area
37580	Paris, TX Micropolitan Statistical Area
37620	Parkersburg-Vienna, WV Metropolitan Statistical Area
37660	Parsons, KS Micropolitan Statistical Area
37740	Payson, AZ Micropolitan Statistical Area
37780	Pecos, TX Micropolitan Statistical Area
37860	Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area
37900	Peoria, IL Metropolitan Statistical Area
37940	Peru, IN Micropolitan Statistical Area
37980	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
38060	Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area
38100	Picayune, MS Micropolitan Statistical Area
38180	Pierre, SD Micropolitan Statistical Area
38220	Pine Bluff, AR Metropolitan Statistical Area
38240	Pinehurst-Southern Pines, NC Micropolitan Statistical Area
38260	Pittsburg, KS Micropolitan Statistical Area
38300	Pittsburgh, PA Metropolitan Statistical Area
38340	Pittsfield, MA Metropolitan Statistical Area
38380	Plainview, TX Micropolitan Statistical Area
38420	Platteville, WI Micropolitan Statistical Area
38460	Plattsburgh, NY Micropolitan Statistical Area
38500	Plymouth, IN Micropolitan Statistical Area
38540	Pocatello, ID Metropolitan Statistical Area
38580	Point Pleasant, WV-OH Micropolitan Statistical Area
38620	Ponca City, OK Micropolitan Statistical Area
38700	Pontiac, IL Micropolitan Statistical Area
38740	Poplar Bluff, MO Micropolitan Statistical Area
38780	Portales, NM Micropolitan Statistical Area
38820	Port Angeles, WA Micropolitan Statistical Area
38840	Port Clinton, OH Micropolitan Statistical Area
38860	Portland-South Portland, ME Metropolitan Statistical Area
38900	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
38920	Port Lavaca, TX Micropolitan Statistical Area
38940	Port St. Lucie, FL Metropolitan Statistical Area
39020	Portsmouth, OH Micropolitan Statistical Area
39060	Pottsville, PA Micropolitan Statistical Area
39140	Prescott, AZ Metropolitan Statistical Area
39220	Price, UT Micropolitan Statistical Area
39260	Prineville, OR Micropolitan Statistical Area
39300	Providence-Warwick, RI-MA Metropolitan Statistical Area
39340	Provo-Orem, UT Metropolitan Statistical Area
39380	Pueblo, CO Metropolitan Statistical Area
39420	Pullman, WA Micropolitan Statistical Area
39460	Punta Gorda, FL Metropolitan Statistical Area
39500	Quincy, IL-MO Micropolitan Statistical Area
39540	Racine, WI Metropolitan Statistical Area
39580	Raleigh, NC Metropolitan Statistical Area
39660	Rapid City, SD Metropolitan Statistical Area
39700	Raymondville, TX Micropolitan Statistical Area
39740	Reading, PA Metropolitan Statistical Area
39780	Red Bluff, CA Micropolitan Statistical Area
39820	Redding, CA Metropolitan Statistical Area
39860	Red Wing, MN Micropolitan Statistical Area
39900	Reno, NV Metropolitan Statistical Area
39940	Rexburg, ID Micropolitan Statistical Area
39980	Richmond, IN Micropolitan Statistical Area
40060	Richmond, VA Metropolitan Statistical Area
40080	Richmond-Berea, KY Micropolitan Statistical Area
40100	Rio Grande City, TX Micropolitan Statistical Area
40140	Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area
40180	Riverton, WY Micropolitan Statistical Area
40220	Roanoke, VA Metropolitan Statistical Area
40260	Roanoke Rapids, NC Micropolitan Statistical Area
40300	Rochelle, IL Micropolitan Statistical Area
40340	Rochester, MN Metropolitan Statistical Area
40380	Rochester, NY Metropolitan Statistical Area
40420	Rockford, IL Metropolitan Statistical Area
40460	Rockingham, NC Micropolitan Statistical Area
40540	Rock Springs, WY Micropolitan Statistical Area
40580	Rocky Mount, NC Metropolitan Statistical Area
40620	Rolla, MO Micropolitan Statistical Area
40660	Rome, GA Metropolitan Statistical Area
40700	Roseburg, OR Micropolitan Statistical Area
40740	Roswell, NM Micropolitan Statistical Area
40780	Russellville, AR Micropolitan Statistical Area
40820	Ruston, LA Micropolitan Statistical Area
40860	Rutland, VT Micropolitan Statistical Area
40900	Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area
40940	Safford, AZ Micropolitan Statistical Area
40980	Saginaw, MI Metropolitan Statistical Area
41060	St. Cloud, MN Metropolitan Statistical Area
41100	St. George, UT Metropolitan Statistical Area
41140	St. Joseph, MO-KS Metropolitan Statistical Area
41180	St. Louis, MO-IL Metropolitan Statistical Area
41220	St. Marys, GA Micropolitan Statistical Area
41400	Salem, OH Micropolitan Statistical Area
41420	Salem, OR Metropolitan Statistical Area
41460	Salina, KS Micropolitan Statistical Area
41500	Salinas, CA Metropolitan Statistical Area
41540	Salisbury, MD-DE Metropolitan Statistical Area
41620	Salt Lake City, UT Metropolitan Statistical Area
41660	San Angelo, TX Metropolitan Statistical Area
41700	San Antonio-New Braunfels, TX Metropolitan Statistical Area
41740	San Diego-Carlsbad, CA Metropolitan Statistical Area
41760	Sandpoint, ID Micropolitan Statistical Area
41780	Sandusky, OH Micropolitan Statistical Area
41820	Sanford, NC Micropolitan Statistical Area
41860	San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area
41940	San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area
42020	San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area
42100	Santa Cruz-Watsonville, CA Metropolitan Statistical Area
42140	Santa Fe, NM Metropolitan Statistical Area
42200	Santa Maria-Santa Barbara, CA Metropolitan Statistical Area
42220	Santa Rosa, CA Metropolitan Statistical Area
42300	Sault Ste. Marie, MI Micropolitan Statistical Area
42340	Savannah, GA Metropolitan Statistical Area
42380	Sayre, PA Micropolitan Statistical Area
42420	Scottsbluff, NE Micropolitan Statistical Area
42460	Scottsboro, AL Micropolitan Statistical Area
42540	Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area
42620	Searcy, AR Micropolitan Statistical Area
42660	Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
42680	Sebastian-Vero Beach, FL Metropolitan Statistical Area
42700	Sebring, FL Metropolitan Statistical Area
42740	Sedalia, MO Micropolitan Statistical Area
42780	Selinsgrove, PA Micropolitan Statistical Area
42820	Selma, AL Micropolitan Statistical Area
42860	Seneca, SC Micropolitan Statistical Area
42900	Seneca Falls, NY Micropolitan Statistical Area
42940	Sevierville, TN Micropolitan Statistical Area
42980	Seymour, IN Micropolitan Statistical Area
43020	Shawano, WI Micropolitan Statistical Area
43060	Shawnee, OK Micropolitan Statistical Area
43100	Sheboygan, WI Metropolitan Statistical Area
43140	Shelby, NC Micropolitan Statistical Area
43180	Shelbyville, TN Micropolitan Statistical Area
43220	Shelton, WA Micropolitan Statistical Area
43260	Sheridan, WY Micropolitan Statistical Area
43300	Sherman-Denison, TX Metropolitan Statistical Area
43320	Show Low, AZ Micropolitan Statistical Area
43340	Shreveport-Bossier City, LA Metropolitan Statistical Area
43380	Sidney, OH Micropolitan Statistical Area
43420	Sierra Vista-Douglas, AZ Metropolitan Statistical Area
43460	Sikeston, MO Micropolitan Statistical Area
43500	Silver City, NM Micropolitan Statistical Area
43580	Sioux City, IA-NE-SD Metropolitan Statistical Area
43620	Sioux Falls, SD Metropolitan Statistical Area
43660	Snyder, TX Micropolitan Statistical Area
43700	Somerset, KY Micropolitan Statistical Area
43740	Somerset, PA Micropolitan Statistical Area
43760	Sonora, CA Micropolitan Statistical Area
43780	South Bend-Mishawaka, IN-MI Metropolitan Statistical Area
43900	Spartanburg, SC Metropolitan Statistical Area
43940	Spearfish, SD Micropolitan Statistical Area
43980	Spencer, IA Micropolitan Statistical Area
44020	Spirit Lake, IA Micropolitan Statistical Area
44060	Spokane-Spokane Valley, WA Metropolitan Statistical Area
44100	Springfield, IL Metropolitan Statistical Area
44140	Springfield, MA Metropolitan Statistical Area
44180	Springfield, MO Metropolitan Statistical Area
44220	Springfield, OH Metropolitan Statistical Area
44260	Starkville, MS Micropolitan Statistical Area
44300	State College, PA Metropolitan Statistical Area
44340	Statesboro, GA Micropolitan Statistical Area
44420	Staunton-Waynesboro, VA Metropolitan Statistical Area
44460	Steamboat Springs, CO Micropolitan Statistical Area
44500	Stephenville, TX Micropolitan Statistical Area
44540	Sterling, CO Micropolitan Statistical Area
44580	Sterling, IL Micropolitan Statistical Area
44620	Stevens Point, WI Micropolitan Statistical Area
44660	Stillwater, OK Micropolitan Statistical Area
44700	Stockton-Lodi, CA Metropolitan Statistical Area
44740	Storm Lake, IA Micropolitan Statistical Area
44780	Sturgis, MI Micropolitan Statistical Area
44860	Sulphur Springs, TX Micropolitan Statistical Area
44900	Summerville, GA Micropolitan Statistical Area
44920	Summit Park, UT Micropolitan Statistical Area
44940	Sumter, SC Metropolitan Statistical Area
44980	Sunbury, PA Micropolitan Statistical Area
45000	Susanville, CA Micropolitan Statistical Area
45020	Sweetwater, TX Micropolitan Statistical Area
45060	Syracuse, NY Metropolitan Statistical Area
45140	Tahlequah, OK Micropolitan Statistical Area
45180	Talladega-Sylacauga, AL Micropolitan Statistical Area
45220	Tallahassee, FL Metropolitan Statistical Area
45300	Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
45340	Taos, NM Micropolitan Statistical Area
45380	Taylorville, IL Micropolitan Statistical Area
45460	Terre Haute, IN Metropolitan Statistical Area
45500	Texarkana, TX-AR Metropolitan Statistical Area
45520	The Dalles, OR Micropolitan Statistical Area
45540	The Villages, FL Metropolitan Statistical Area
45580	Thomaston, GA Micropolitan Statistical Area
45620	Thomasville, GA Micropolitan Statistical Area
45660	Tiffin, OH Micropolitan Statistical Area
45700	Tifton, GA Micropolitan Statistical Area
45740	Toccoa, GA Micropolitan Statistical Area
45780	Toledo, OH Metropolitan Statistical Area
45820	Topeka, KS Metropolitan Statistical Area
45860	Torrington, CT Micropolitan Statistical Area
45900	Traverse City, MI Micropolitan Statistical Area
45940	Trenton, NJ Metropolitan Statistical Area
45980	Troy, AL Micropolitan Statistical Area
46020	Truckee-Grass Valley, CA Micropolitan Statistical Area
46060	Tucson, AZ Metropolitan Statistical Area
46100	Tullahoma-Manchester, TN Micropolitan Statistical Area
46140	Tulsa, OK Metropolitan Statistical Area
46180	Tupelo, MS Micropolitan Statistical Area
46220	Tuscaloosa, AL Metropolitan Statistical Area
46300	Twin Falls, ID Micropolitan Statistical Area
46340	Tyler, TX Metropolitan Statistical Area
46380	Ukiah, CA Micropolitan Statistical Area
46460	Union City, TN-KY Micropolitan Statistical Area
46500	Urbana, OH Micropolitan Statistical Area
46520	Urban Honolulu, HI Metropolitan Statistical Area
46540	Utica-Rome, NY Metropolitan Statistical Area
46620	Uvalde, TX Micropolitan Statistical Area
46660	Valdosta, GA Metropolitan Statistical Area
46700	Vallejo-Fairfield, CA Metropolitan Statistical Area
46740	Valley, AL Micropolitan Statistical Area
46780	Van Wert, OH Micropolitan Statistical Area
46820	Vermillion, SD Micropolitan Statistical Area
46860	Vernal, UT Micropolitan Statistical Area
46900	Vernon, TX Micropolitan Statistical Area
46980	Vicksburg, MS Micropolitan Statistical Area
47020	Victoria, TX Metropolitan Statistical Area
47080	Vidalia, GA Micropolitan Statistical Area
47180	Vincennes, IN Micropolitan Statistical Area
47220	Vineland-Bridgeton, NJ Metropolitan Statistical Area
47240	Vineyard Haven, MA Micropolitan Statistical Area
47260	Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
47300	Visalia-Porterville, CA Metropolitan Statistical Area
47340	Wabash, IN Micropolitan Statistical Area
47380	Waco, TX Metropolitan Statistical Area
47420	Wahpeton, ND-MN Micropolitan Statistical Area
47460	Walla Walla, WA Metropolitan Statistical Area
47540	Wapakoneta, OH Micropolitan Statistical Area
47580	Warner Robins, GA Metropolitan Statistical Area
47620	Warren, PA Micropolitan Statistical Area
47660	Warrensburg, MO Micropolitan Statistical Area
47700	Warsaw, IN Micropolitan Statistical Area
47780	Washington, IN Micropolitan Statistical Area
47820	Washington, NC Micropolitan Statistical Area
47900	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
47920	Washington Court House, OH Micropolitan Statistical Area
47940	Waterloo-Cedar Falls, IA Metropolitan Statistical Area
47980	Watertown, SD Micropolitan Statistical Area
48020	Watertown-Fort Atkinson, WI Micropolitan Statistical Area
48060	Watertown-Fort Drum, NY Metropolitan Statistical Area
48100	Wauchula, FL Micropolitan Statistical Area
48140	Wausau, WI Metropolitan Statistical Area
48180	Waycross, GA Micropolitan Statistical Area
48220	Weatherford, OK Micropolitan Statistical Area
48260	Weirton-Steubenville, WV-OH Metropolitan Statistical Area
48300	Wenatchee, WA Metropolitan Statistical Area
48460	West Plains, MO Micropolitan Statistical Area
48540	Wheeling, WV-OH Metropolitan Statistical Area
48580	Whitewater-Elkhorn, WI Micropolitan Statistical Area
48620	Wichita, KS Metropolitan Statistical Area
48660	Wichita Falls, TX Metropolitan Statistical Area
48700	Williamsport, PA Metropolitan Statistical Area
48780	Williston, ND Micropolitan Statistical Area
48820	Willmar, MN Micropolitan Statistical Area
48900	Wilmington, NC Metropolitan Statistical Area
48940	Wilmington, OH Micropolitan Statistical Area
48980	Wilson, NC Micropolitan Statistical Area
49020	Winchester, VA-WV Metropolitan Statistical Area
49080	Winnemucca, NV Micropolitan Statistical Area
49100	Winona, MN Micropolitan Statistical Area
49180	Winston-Salem, NC Metropolitan Statistical Area
49220	Wisconsin Rapids-Marshfield, WI Micropolitan Statistical Area
49260	Woodward, OK Micropolitan Statistical Area
49300	Wooster, OH Micropolitan Statistical Area
49340	Worcester, MA-CT Metropolitan Statistical Area
49380	Worthington, MN Micropolitan Statistical Area
49420	Yakima, WA Metropolitan Statistical Area
49460	Yankton, SD Micropolitan Statistical Area
49620	York-Hanover, PA Metropolitan Statistical Area
49660	Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area
49700	Yuba City, CA Metropolitan Statistical Area
49740	Yuma, AZ Metropolitan Statistical Area
49780	Zanesville, OH Micropolitan Statistical Area
49820	Zapata, TX Micropolitan Statistical Area
